2000 	 21460
2001 	 22190
2002 	 22430
2003 	 22680
2004 	 23020
2005 	 23420
2006 	 24000
2007 	 24380
2008 	 24200
2009 	 23100
2010 	 23040
2011 	 22770
2012 	 22080
2013 	 21840
2014 	 22210
2015 	 23080
2016 	 23760
2017 	 24430
2018 	 24880
2019 	 25200
2020 	 22350
2021 	 23510
